Network,Acc.(%),Time(ms),Gain,Thrshld.T,Exit(%)
LeNet,98.31,5.024627542,1,-,-
B-LeNet,98.81,7.091291523,0.708563105,{0.0001},"{18.77, 81.23}"
B-LeNet,98.81,3.775758553,1.330759759,{0.0005},"{30.97, 69.03}"
B-LeNet,98.81,4.537846351,1.107271413,{0.001},"{37.91, 62.09}"
B-LeNet,98.81,2.408504581,2.086202194,{0.005},"{58.99, 41.01}"
B-LeNet,98.82,1.958627129,2.565382389,{0.01},"{67.7, 32.3}"
B-LeNet,98.83,1.66689167,3.014369579,{0.025},"{77.65, 22.35}"
B-LeNet,98.84,1.297256231,3.873273006,{0.05},"{83.91, 16.09}"
B-LeNet,98.85,1.109588599,4.528369836,{0.075},"{86.53, 13.47}"
B-LeNet,98.86,1.02943213,4.880970194,{0.1},"{88.44, 11.56}"
B-LeNet,98.84,0.963654757,5.214136607,{0.25},"{93.41, 6.59}"
B-LeNet,98.89,0.718725419,6.991025236,{0.5},"{96.48, 3.52}"
B-LeNet,98.72,0.696153164,7.217704096,{0.75},"{98.53, 1.47}"
B-LeNet,98.6,0.695925355,7.220066788,{1.0},"{99.43, 0.57}"
B-LeNet,98.5,0.768063641,6.541941679,{2.0},"{100.0, 0.0}"
B-LeNet,98.5,0.748905873,6.709291143,{3.0},"{100.0, 0.0}"
B-LeNet,98.5,0.731406903,6.869811483,{5.0},"{100.0, 0.0}"
B-LeNet,98.5,0.601811934,8.349165682,{10.0},"{100.0, 0.0}"
