Network,Acc.(%),Time(ms),Gain,Thrshld.T,Exit(%)
alexnet(5),51.77,0.23959569931030272,1.0,-,-
B-alexnet(5),55.31,0.06765055656433105,3.541666343608919,"{0.0001, 0.0001}","{0.0, 0.0, 100.0}"
B-alexnet(5),55.35,0.05984678268432617,4.0034850423639,"{0.0001, 0.001}","{0.0, 0.0, 100.0}"
B-alexnet(5),55.45,0.05896384716033935,4.063433965880387,"{0.0001, 0.005}","{0.0, 0.0, 100.0}"
B-alexnet(5),55.82,0.09362425804138184,2.559119872591157,"{0.0001, 0.01}","{0.0, 0.0, 100.0}"
B-alexnet(5),55.29999998837709,0.07051563262939453,3.397767138664611,"{0.0001, 0.05}","{0.0, 0.01, 99.99}"
B-alexnet(5),55.79999998688698,0.06374318599700927,3.758765671385553,"{0.0001, 0.1}","{0.0, 0.1, 99.9}"
B-alexnet(5),55.23000025868415,0.06377754211425782,3.756740874100568,"{0.0001, 0.5}","{0.0, 4.33, 95.67}"
B-alexnet(5),55.80000028431415,0.05746634006500244,4.169322407504751,"{0.0001, 0.75}","{0.0, 11.24, 88.76}"
B-alexnet(5),55.07000000029802,0.08376419544219971,2.8603593462033827,"{0.0001, 1.0}","{0.0, 22.45, 77.55}"
B-alexnet(5),55.97,0.03832399845123291,6.2518450316499985,"{0.0001, 5.0}","{0.0, 100.0, 0.0}"
B-alexnet(5),55.97,0.042345404624938965,5.65812752133191,"{0.0001, 10.0}","{0.0, 100.0, 0.0}"
B-alexnet(5),55.7,0.11717915534973145,2.0446955654801267,"{0.001, 0.0001}","{0.0, 0.0, 100.0}"
B-alexnet(5),55.379999999999995,0.07613322734832763,3.1470582248417682,"{0.001, 0.001}","{0.0, 0.0, 100.0}"
B-alexnet(5),55.589999999999996,0.1172562599182129,2.043351028571289,"{0.001, 0.005}","{0.0, 0.0, 100.0}"
B-alexnet(5),55.400000000000006,0.1665647268295288,1.4384540104671604,"{0.001, 0.01}","{0.0, 0.0, 100.0}"
B-alexnet(5),55.82999999791384,0.1337559461593628,1.7912900786095725,"{0.001, 0.05}","{0.0, 0.01, 99.99}"
B-alexnet(5),55.6200000423193,0.14783332347869874,1.6207150977352276,"{0.001, 0.1}","{0.0, 0.1, 99.9}"
B-alexnet(5),55.96000025629997,0.1261730432510376,1.8989452353431475,"{0.001, 0.5}","{0.0, 4.33, 95.67}"
B-alexnet(5),55.67000001877547,0.12460119724273683,1.9229004585208276,"{0.001, 0.75}","{0.0, 11.24, 88.76}"
B-alexnet(5),55.819999922215935,0.06523199081420898,3.6729784929101603,"{0.001, 1.0}","{0.0, 22.45, 77.55}"
B-alexnet(5),55.97,0.029759907722473146,8.05095572018096,"{0.001, 5.0}","{0.0, 100.0, 0.0}"
B-alexnet(5),55.97,0.030627155303955076,7.822982478538,"{0.001, 10.0}","{0.0, 100.0, 0.0}"
B-alexnet(5),55.059999999999995,0.059719085693359375,4.012045672309166,"{0.005, 0.0001}","{0.0, 0.0, 100.0}"
B-alexnet(5),55.42,0.0591331958770752,4.051796892702519,"{0.005, 0.001}","{0.0, 0.0, 100.0}"
B-alexnet(5),55.58,0.05672605037689209,4.22373314761756,"{0.005, 0.005}","{0.0, 0.0, 100.0}"
B-alexnet(5),55.7,0.06642611026763917,3.606950615427299,"{0.005, 0.01}","{0.0, 0.0, 100.0}"
B-alexnet(5),55.329999993145464,0.057137274742126466,4.193334393207459,"{0.005, 0.05}","{0.0, 0.01, 99.99}"
B-alexnet(5),55.9200000551343,0.05401911735534668,4.435387156258082,"{0.005, 0.1}","{0.0, 0.1, 99.9}"
B-alexnet(5),55.42999990910291,0.05716354846954346,4.191407036915465,"{0.005, 0.5}","{0.0, 4.33, 95.67}"
B-alexnet(5),55.55000019878149,0.0598679780960083,4.002067665055783,"{0.005, 0.75}","{0.0, 11.24, 88.76}"
B-alexnet(5),55.14999997705221,0.05378162860870361,4.454972924927906,"{0.005, 1.0}","{0.0, 22.45, 77.55}"
B-alexnet(5),55.97,0.02725999355316162,8.789279382735376,"{0.005, 5.0}","{0.0, 100.0, 0.0}"
B-alexnet(5),55.97,0.02612669467926025,9.170532371264601,"{0.005, 10.0}","{0.0, 100.0, 0.0}"
B-alexnet(5),56.21000000000001,0.0640383243560791,3.7414423584548104,"{0.01, 0.0001}","{0.0, 0.0, 100.0}"
B-alexnet(5),55.22,0.058152198791503906,4.120148580612362,"{0.01, 0.001}","{0.0, 0.0, 100.0}"
B-alexnet(5),55.22,0.05563628673553467,4.3064646001487,"{0.01, 0.005}","{0.0, 0.0, 100.0}"
B-alexnet(5),55.66,0.058343625068664556,4.106630313565925,"{0.01, 0.01}","{0.0, 0.0, 100.0}"
B-alexnet(5),55.550000007450585,0.0634345769882202,3.7770520540366435,"{0.01, 0.05}","{0.0, 0.01, 99.99}"
B-alexnet(5),55.38999998211861,0.055904603004455565,4.2857955594677435,"{0.01, 0.1}","{0.0, 0.1, 99.9}"
B-alexnet(5),55.3500000178814,0.05304231643676757,4.517067040160809,"{0.01, 0.5}","{0.0, 4.33, 95.67}"
B-alexnet(5),55.740000159442424,0.056477689743041994,4.242307013626044,"{0.01, 0.75}","{0.0, 11.24, 88.76}"
B-alexnet(5),55.92999984383583,0.06216523647308349,3.8541749843426345,"{0.01, 1.0}","{0.0, 22.45, 77.55}"
B-alexnet(5),55.97,0.02884812355041504,8.305417123286539,"{0.01, 5.0}","{0.0, 100.0, 0.0}"
B-alexnet(5),55.97,0.028018832206726074,8.551237879671033,"{0.01, 10.0}","{0.0, 100.0, 0.0}"
B-alexnet(5),56.10999998450279,0.05631325244903564,4.254694745737524,"{0.05, 0.0001}","{0.06, 0.0, 99.94}"
B-alexnet(5),55.9999999654293,0.05736310482025146,4.176825854546769,"{0.05, 0.001}","{0.06, 0.0, 99.94}"
B-alexnet(5),55.69999988555908,0.06591415405273438,3.634965854505469,"{0.05, 0.005}","{0.06, 0.0, 99.94}"
B-alexnet(5),55.60000001788139,0.058332991600036625,4.107378907516074,"{0.05, 0.01}","{0.06, 0.0, 99.94}"
B-alexnet(5),55.8600000372529,0.05664098262786865,4.230076672300106,"{0.05, 0.05}","{0.06, 0.0, 99.94}"
B-alexnet(5),55.57999997824431,0.05842976570129395,4.100576075132144,"{0.05, 0.1}","{0.06, 0.09, 99.85}"
B-alexnet(5),55.65999996811152,0.05797743797302246,4.132567903773003,"{0.05, 0.5}","{0.06, 4.27, 95.67}"
B-alexnet(5),55.68000018388033,0.06226024627685547,3.848293471967355,"{0.05, 0.75}","{0.06, 11.18, 88.76}"
B-alexnet(5),55.64000008821487,0.06128404140472412,3.9095936530686,"{0.05, 1.0}","{0.06, 22.39, 77.55}"
B-alexnet(5),55.970000046193604,0.030837368965148923,7.769654394999896,"{0.05, 5.0}","{0.06, 99.94, 0.0}"
B-alexnet(5),55.970000046193604,0.02893996238708496,8.279060494467924,"{0.05, 10.0}","{0.06, 99.94, 0.0}"
B-alexnet(5),55.1099998536706,0.060271835327148436,3.9752514256419342,"{0.1, 0.0001}","{0.32, 0.0, 99.68}"
B-alexnet(5),55.44000007629395,0.05622479915618897,4.261388264717867,"{0.1, 0.001}","{0.32, 0.0, 99.68}"
B-alexnet(5),55.46999997168779,0.06106657981872558,3.923515939840348,"{0.1, 0.005}","{0.32, 0.0, 99.68}"
B-alexnet(5),55.93000003933907,0.059447836875915525,4.030351849646049,"{0.1, 0.01}","{0.32, 0.0, 99.68}"
B-alexnet(5),55.58000012576581,0.059247589111328124,4.043973820775976,"{0.1, 0.05}","{0.32, 0.0, 99.68}"
B-alexnet(5),55.71999998509883,0.05614218711853027,4.267658807172153,"{0.1, 0.1}","{0.32, 0.04, 99.64}"
B-alexnet(5),55.57999984383583,0.061954092979431157,3.8673102580946317,"{0.1, 0.5}","{0.32, 4.02, 95.66}"
B-alexnet(5),55.62000031262636,0.05629663467407227,4.2559506566855205,"{0.1, 0.75}","{0.32, 10.92, 88.76}"
B-alexnet(5),55.5399999883771,0.05387799739837647,4.447004545078407,"{0.1, 1.0}","{0.32, 22.13, 77.55}"
B-alexnet(5),55.96999998867511,0.025862455368041992,9.264228624106936,"{0.1, 5.0}","{0.32, 99.68, 0.0}"
B-alexnet(5),55.96999998867511,0.026758551597595215,8.953986109316737,"{0.1, 10.0}","{0.32, 99.68, 0.0}"
B-alexnet(5),55.54000019043684,0.05748507976531983,4.167963239999684,"{0.5, 0.0001}","{7.27, 0.0, 92.73}"
B-alexnet(5),55.470000309050086,0.06260218620300294,3.8272736759281045,"{0.5, 0.001}","{7.27, 0.0, 92.73}"
B-alexnet(5),55.2600002348423,0.05860967636108398,4.087988779091621,"{0.5, 0.005}","{7.27, 0.0, 92.73}"
B-alexnet(5),55.310000238716604,0.07068488597869874,3.389631262650776,"{0.5, 0.01}","{7.27, 0.0, 92.73}"
B-alexnet(5),55.09000045895577,0.06360926628112794,3.766679185566832,"{0.5, 0.05}","{7.27, 0.0, 92.73}"
B-alexnet(5),55.63000014960766,0.06022639274597168,3.978250869529761,"{0.5, 0.1}","{7.27, 0.0, 92.73}"
B-alexnet(5),55.41000072032213,0.055327773094177246,4.330477912105196,"{0.5, 0.5}","{7.27, 0.79, 91.94}"
B-alexnet(5),55.340000280737875,0.06002285480499268,3.9917411474132893,"{0.5, 0.75}","{7.27, 5.08, 87.65}"
B-alexnet(5),56.08000004857778,0.05821247100830078,4.1158826478288075,"{0.5, 1.0}","{7.27, 15.35, 77.38}"
B-alexnet(5),55.98000013113021,0.029105925559997557,8.231852954355004,"{0.5, 5.0}","{7.27, 92.73, 0.0}"
B-alexnet(5),55.98000013113021,0.026904010772705076,8.90557550450358,"{0.5, 10.0}","{7.27, 92.73, 0.0}"
B-alexnet(5),55.760000092685225,0.06299278736114501,3.803541791803442,"{0.75, 0.0001}","{15.2, 0.0, 84.8}"
B-alexnet(5),55.61000015377998,0.054727935791015626,4.377941463482637,"{0.75, 0.001}","{15.2, 0.0, 84.8}"
B-alexnet(5),55.46000031203031,0.05823192596435547,4.1145075547898315,"{0.75, 0.005}","{15.2, 0.0, 84.8}"
B-alexnet(5),56.08999979913235,0.056291055679321286,4.256372463064661,"{0.75, 0.01}","{15.2, 0.0, 84.8}"
B-alexnet(5),55.930000019669535,0.06748294830322266,3.550462825567756,"{0.75, 0.05}","{15.2, 0.0, 84.8}"
B-alexnet(5),55.800000114142904,0.10509495735168457,2.2798020509065102,"{0.75, 0.1}","{15.2, 0.0, 84.8}"
B-alexnet(5),55.71000009268522,0.1161907434463501,2.062089390287219,"{0.75, 0.5}","{15.2, 0.08, 84.72}"
B-alexnet(5),55.82000019818545,0.09660508632659912,2.4801561534791854,"{0.75, 0.75}","{15.2, 1.46, 83.34}"
B-alexnet(5),55.86999983876944,0.06620657444000244,3.6189109818304908,"{0.75, 1.0}","{15.2, 8.72, 76.08}"
B-alexnet(5),56.11000013262033,0.0339012622833252,7.067456583413154,"{0.75, 5.0}","{15.2, 84.8, 0.0}"
B-alexnet(5),56.11000013262033,0.03249948024749756,7.372293263943858,"{0.75, 10.0}","{15.2, 84.8, 0.0}"
B-alexnet(5),55.84000007897616,0.06050808429718017,3.9597303747636325,"{1.0, 0.0001}","{27.48, 0.0, 72.52}"
B-alexnet(5),55.979999999105935,0.05778489112854004,4.146338162640685,"{1.0, 0.001}","{27.48, 0.0, 72.52}"
B-alexnet(5),55.75000007748604,0.060376095771789554,3.968386763793572,"{1.0, 0.005}","{27.48, 0.0, 72.52}"
B-alexnet(5),55.940000131726265,0.06360404491424561,3.7669883988249255,"{1.0, 0.01}","{27.48, 0.0, 72.52}"
B-alexnet(5),55.810000023245806,0.06460590362548829,3.7085728372318214,"{1.0, 0.05}","{27.48, 0.0, 72.52}"
B-alexnet(5),56.01000010490418,0.05794544219970703,4.134849786537898,"{1.0, 0.1}","{27.48, 0.0, 72.52}"
B-alexnet(5),55.92000004410743,0.05458807945251465,4.389157884162667,"{1.0, 0.5}","{27.48, 0.01, 72.51}"
B-alexnet(5),55.74000006616116,0.06519544124603271,3.6750376212061093,"{1.0, 0.75}","{27.48, 0.12, 72.4}"
B-alexnet(5),56.10000010460615,0.06379761695861816,3.755558761163676,"{1.0, 1.0}","{27.48, 2.25, 70.27}"
B-alexnet(5),56.10000010371208,0.024833202362060547,9.648199850227538,"{1.0, 5.0}","{27.48, 72.52, 0.0}"
B-alexnet(5),56.10000010371208,0.025600433349609375,9.359048576963195,"{1.0, 10.0}","{27.48, 72.52, 0.0}"
B-alexnet(5),56.24,0.015305328369140624,15.654397836598376,"{5.0, 0.0001}","{100.0, 0.0, 0.0}"
B-alexnet(5),56.24,0.015209794044494629,15.75272476467407,"{5.0, 0.001}","{100.0, 0.0, 0.0}"
B-alexnet(5),56.24,0.014910650253295899,16.068762611968697,"{5.0, 0.005}","{100.0, 0.0, 0.0}"
B-alexnet(5),56.24,0.014099597930908203,16.993087355000167,"{5.0, 0.01}","{100.0, 0.0, 0.0}"
B-alexnet(5),56.24,0.014393949508666992,16.645584255109107,"{5.0, 0.05}","{100.0, 0.0, 0.0}"
