Network,Acc.(%),Time(ms),Gain,Thrshld.T,Exit(%)
lenet(10),96.54,5.373663687705994,1.0,-,-
B-lenet(10),98.27,4.130718851089478,1.300902792328432,{0.0001},"{7.59, 92.41}"
B-lenet(10),98.27,3.278861832618713,1.638880795234435,{0.0005},"{16.93, 83.07}"
B-lenet(10),98.27,3.0328223228454587,1.7718359718034216,{0.001},"{22.64, 77.36}"
B-lenet(10),98.27,2.5196840524673463,2.132673611377565,{0.005},"{39.13, 60.87}"
B-lenet(10),98.27,2.2510318994522094,2.387200149857352,{0.01},"{47.91, 52.09}"
B-lenet(10),98.27,1.7592113018035889,3.0545868379749352,{0.025},"{61.77, 38.23}"
B-lenet(10),98.27,1.4289909601211548,3.760460239195912,{0.05},"{71.64, 28.36}"
B-lenet(10),98.26,1.2755273103713989,4.212895830620302,{0.075},"{76.74, 23.26}"
B-lenet(10),98.27,1.3573070526123048,3.959062672932934,{0.1},"{80.09, 19.91}"
B-lenet(10),98.28,1.1048194885253906,4.863838612114144,{0.25},"{89.05, 10.95}"
B-lenet(10),98.31,0.8273184299468994,6.49527859309371,{0.5},"{94.02, 5.98}"
B-lenet(10),98.14,0.5941018104553223,9.04502156555893,{0.75},"{97.0, 3.0}"
B-lenet(10),97.92999999999999,0.5382549047470092,9.983492282772092,{1.0},"{98.92, 1.08}"
B-lenet(10),97.66,0.4947778224945068,10.860761019185848,{2.0},"{100.0, 0.0}"
B-lenet(10),97.66,0.5013351440429688,10.718705344234603,{3.0},"{100.0, 0.0}"
B-lenet(10),97.66,0.49894857406616216,10.769975037534488,{5.0},"{100.0, 0.0}"
B-lenet(10),97.66,0.49592018127441406,10.83574311070941,{10.0},"{100.0, 0.0}"
