Network,Acc.(%),Time(ms),Gain,Thrshld.T,Exit(%)
resnet(100),80.06,3.4355861663818357,1.0,-,-
B-resnet(100),74.99000050663948,3.3781250715255737,1.0170097594492888,"{0.0001, 0.0001}","{43.12, 29.83, 27.05}"
B-resnet(100),74.55000050738454,3.489367723464966,0.9845870193842096,"{0.0001, 0.0005}","{43.12, 32.84, 24.04}"
B-resnet(100),74.31000052839518,3.351834225654602,1.0249868982440136,"{0.0001, 0.001}","{43.12, 34.24, 22.64}"
B-resnet(100),73.69000050947069,3.4781990289688114,0.987748584186222,"{0.0001, 0.005}","{43.12, 38.16, 18.72}"
B-resnet(100),73.41000051990152,3.3126585483551025,1.03710844816402,"{0.0001, 0.01}","{43.12, 40.05, 16.83}"
B-resnet(100),72.99000054717064,3.411914563179016,1.0069379237857479,"{0.0001, 0.025}","{43.12, 42.35, 14.53}"
B-resnet(100),72.56000053077936,3.398267650604248,1.0109816293519294,"{0.0001, 0.05}","{43.12, 44.4, 12.48}"
B-resnet(100),72.32000050216914,3.33526554107666,1.0300787520722536,"{0.0001, 0.075}","{43.12, 45.47, 11.41}"
B-resnet(100),72.19000050693751,3.206112861633301,1.0715736827279478,"{0.0001, 0.1}","{43.12, 46.29, 10.59}"
B-resnet(100),71.59000052988529,3.2112851619720457,1.0698477379293363,"{0.0001, 0.25}","{43.12, 49.41, 7.47}"
B-resnet(100),70.99000054121018,2.819580960273743,1.2184740267391674,"{0.0001, 0.5}","{43.12, 52.61, 4.27}"
B-resnet(100),70.53000055514276,2.5192800998687743,1.363717423307075,"{0.0001, 0.75}","{43.12, 56.05, 0.83}"
B-resnet(100),70.45000055745244,2.3599453449249266,1.4557905647137463,"{0.0001, 1.0}","{43.12, 56.64, 0.24}"
B-resnet(100),70.41000056490302,2.2473534107208253,1.5287253664655671,"{0.0001, 2.0}","{43.12, 56.88, 0.0}"
B-resnet(100),70.41000056490302,2.333238625526428,1.4724538368237816,"{0.0001, 3.0}","{43.12, 56.88, 0.0}"
B-resnet(100),70.41000056490302,2.432406854629517,1.4124224982522977,"{0.0001, 5.0}","{43.12, 56.88, 0.0}"
B-resnet(100),70.41000056490302,2.255299115180969,1.5233394733568004,"{0.0001, 10.0}","{43.12, 56.88, 0.0}"
B-resnet(100),74.07000053390861,3.49171781539917,0.9839243455557083,"{0.0005, 0.0001}","{48.8, 26.21, 24.99}"
B-resnet(100),73.56000055983662,3.3461716175079346,1.0267214474015809,"{0.0005, 0.0005}","{48.8, 29.26, 21.94}"
B-resnet(100),73.48000055179,3.472407841682434,0.9893959243903914,"{0.0005, 0.001}","{48.8, 30.44, 20.76}"
B-resnet(100),73.08000053867698,3.3832686901092526,1.0154635889326584,"{0.0005, 0.005}","{48.8, 33.75, 17.45}"
B-resnet(100),72.78000056341291,3.429372191429138,1.0018119861612653,"{0.0005, 0.01}","{48.8, 35.37, 15.83}"
B-resnet(100),72.25000057905913,3.271813797950745,1.0500555283841848,"{0.0005, 0.025}","{48.8, 37.74, 13.46}"
B-resnet(100),71.77000057667495,3.3400420665740964,1.028605657624468,"{0.0005, 0.05}","{48.8, 39.75, 11.45}"
B-resnet(100),71.5000005723536,3.327663826942444,1.0324318636292518,"{0.0005, 0.075}","{48.8, 40.75, 10.45}"
B-resnet(100),71.35000057980419,3.247851037979126,1.0578028752573339,"{0.0005, 0.1}","{48.8, 41.58, 9.62}"
B-resnet(100),70.97000061675907,3.0720290660858156,1.1183442905243215,"{0.0005, 0.25}","{48.8, 44.47, 6.73}"
B-resnet(100),70.68000063300133,2.7664839744567873,1.2418601365859818,"{0.0005, 0.5}","{48.8, 47.31, 3.89}"
B-resnet(100),70.10000066362322,2.5266916513442994,1.359717227289673,"{0.0005, 0.75}","{48.8, 50.36, 0.84}"
B-resnet(100),70.00000066280366,2.3592699766159058,1.4562073015949528,"{0.0005, 1.0}","{48.8, 50.97, 0.23}"
B-resnet(100),69.99000066280365,2.255411672592163,1.52326345036305,"{0.0005, 2.0}","{48.8, 51.2, 0.0}"
B-resnet(100),69.99000066280365,2.374047064781189,1.4471432421658779,"{0.0005, 3.0}","{48.8, 51.2, 0.0}"
B-resnet(100),69.99000066280365,2.2569074630737305,1.522253890597197,"{0.0005, 5.0}","{48.8, 51.2, 0.0}"
B-resnet(100),69.99000066280365,2.2505852460861204,1.5265301202682684,"{0.0005, 10.0}","{48.8, 51.2, 0.0}"
B-resnet(100),73.43000052660705,3.515533208847046,0.9772589141630013,"{0.001, 0.0001}","{51.63, 24.58, 23.79}"
